month_date_yyyymm,zip,zip_name,zip_lookup_key,zip_geoid,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_square_feet,median_square_feet_mm,average_listing_price,total_listing_count
202109,56572,pelican rapids,56572pelican rapids,2700513294,354900,23,49.5,8,0,4,10,211.5902681,0.0024,2110,-0.0268,610284.6281,33
202109,55408,minneapolis,55408minneapolis,2705343000,324949.5,94,36.5,40,0,40,23,227.4162737,-0.0191,1387,0.136,466659.847,117
202109,55304,andover,55304andover,2700301486,444950,70,35.5,44,4,16,97,178.5424597,0.0039,2459.5,0.0321,494948.9104,167
202109,55944,kasson,55944kasson,2703902512,318950,18,52,12,0,8,19,171.5726979,-0.0483,1844.5,0.0528,321647.9545,37
202109,55317,chanhassen,55317chanhassen,2701910918,454450,45,25.5,32,0,16,78,195.7444924,-0.004,2323.5,-0.1237,567174.9227,123
202109,55901,rochester,55901rochester,2710910180,309900,105,46,72,0,32,140,150.1070181,-0.0324,1970,0.0142,326638.1862,245
202109,56472,pequot lakes,56472pequot lakes,2702120366,389900,40,42,20,0,8,40,193.7468757,-0.0474,1857.5,0.0257,663729.9577,80
202109,55075,south saint paul,55075south saint paul,2703717288,264900,26,27,28,0,8,40,155.5119608,-0.0211,1669,0.0354,266287.0247,66
202109,56484,walker,56484walker,2702136224,364450,17,46,0,0,8,8,218.4851695,0.0151,1949,0.0913,567698.5882,25
202109,56431,aitkin,56431aitkin,2700100460,279900,30,36.5,16,0,8,18,169.0671031,-0.0603,1861,-0.0008,388832.5542,48
202109,56649,international falls,56649international falls,2707131040,149000,14,85.5,8,0,4,12,83.14855876,0.4369,1767,0.0887,234552.5347,26
202109,56528,dent,56528dent,2711115076,249900,19,43.5,0,0,0,4,287.7777778,-0.1306,1142.5,0.5132,300596.6452,23
202109,56096,waterville,56096waterville,2707913204,204950,13,63,4,0,8,6,143.9719887,-0.1909,1645.5,0.0278,225952.6316,19
202109,56387,waite park,56387waite park,2700958684,229900,14,33.5,12,0,4,16,147.1190648,-0.0667,1448.5,0.0496,220849.6429,30
202109,55412,minneapolis,55412minneapolis,2705343000,220000,94,23.5,76,0,52,50,155.5995529,-0.0098,1423.5,0.0175,222963.8094,144
202109,56265,montevideo,56265montevideo,2702305608,158750,18,46,4,0,8,12,93.80777943,-0.1278,2000,-0.0239,199079.8627,30
202109,55378,savage,55378savage,2703708794,375000,46,33,44,4,16,109,175.2722164,0.0199,2190.5,-0.0873,429469.2116,155
202109,55810,duluth,55810duluth,2701764768,289900,17,28,12,0,12,27,146.8862632,0.014,1700,0.0256,297040.3846,44
202109,55405,minneapolis,55405minneapolis,2705343000,425000,49,43,32,0,12,12,262.1183599,-0.0029,1789.5,-0.1245,784697.9114,61
202109,55311,maple grove,55311maple grove,2705313168,447500,73,36,68,0,16,146,182.621696,0.0252,2622,-0.0216,604006.5463,219
202109,56303,saint cloud,56303saint cloud,2700958684,189900,48,33.5,40,0,16,68,113.7555659,0.0037,1735.5,-0.0178,213689.3603,116
202109,55343,hopkins,55343hopkins,2705318188,332450,57,31,40,0,24,42,195.0696427,0.0041,1682,-0.0986,407212.5491,99
202109,55723,cook,55723cook,2706104276,197000,25,45.5,12,0,4,17,287.5,0.0376,1158,0.0339,802368.5345,42
202109,56571,ottertail,56571ottertail,2711123840,496500,14,52.5,4,0,0,12,209.5217486,-0.0512,2528,0.2015,487279.0441,26
202109,55020,elko new market,55020elko new market,2713168962,510900,28,48,4,4,0,13,206.2172786,0.0077,2380.5,-0.0094,532642.393,41
202109,55041,lake city,55041lake city,2704905032,339900,26,137,0,0,0,12,148.5225657,0.0019,2269.5,0.0843,359263.2184,38
202109,55414,minneapolis,55414minneapolis,2705343000,374000,43,45.5,12,0,8,23,266.0986888,0.0347,1609.5,0.0094,473892.1578,66
202109,55376,saint michael,55376saint michael,2717100730,460152.5,42,38,36,4,4,57,184.6449507,-0.0079,2480,0.0218,500288.7299,99
202109,55431,minneapolis,55431minneapolis,2705306616,334500,28,39,28,0,8,33,174.8118058,-0.0453,1847.5,-0.0588,384497.5122,61
202109,55410,minneapolis,55410minneapolis,2705318188,599950,69,29,60,0,32,54,297.9802931,0.0174,2231,-0.0462,763137.3783,123
202109,55130,saint paul,55130saint paul,2712340382,217500,21,32.5,16,0,12,12,143.1578913,-0.0483,1445,0.0035,228431.2503,33
202109,55437,minneapolis,55437minneapolis,2705306616,375000,25,18.5,28,0,8,33,169.4339413,0.0015,2267.5,0.0596,432128.8014,58
202109,56320,cold spring,56320cold spring,2714512484,349950,28,84,12,0,4,12,211.1199409,0.0123,1799.5,-0.0196,367659.7895,40
202109,55428,minneapolis,55428minneapolis,2705307966,277000,45,33,44,0,24,62,165.1013843,-0.0157,1657.5,-0.0402,278354.5703,107
202109,55992,zumbrota,55992zumbrota,2704943072,290450,15,58,8,0,4,19,163.7090484,0,2064,0.049,309127.6471,34
202109,55060,owatonna,55060owatonna,2714702890,229250,63,46,44,0,16,60,123.0673433,-0.0332,1892.5,0.0013,248027.4341,123
202109,55435,minneapolis,55435minneapolis,2705306616,235000,34,35,24,0,16,26,200.4255589,-0.0727,1260,-0.004,501782.9165,60
