City,Realitor Rank,2020 Census,2010 Census,Change,County,latitude,longitude,wikiDataId
Afton,208,3028,2886,0.0492,Washington,44.90275,-92.78354,Q692740
Albertville,121,7896,7044,0.121,Wright,45.23774,-93.65441,Q2009839
Andover,30,32601,30598,0.0655,Anoka,45.2333,-93.29134,Q492833
Annandale,190,3517,3228,0.0895,Wright,45.26274,-94.12443,Q564511
Anoka,67,17921,17142,0.0454,Anoka,45.19774,-93.38718,Q567530
Apple Valley,17,56374,49084,0.1485,Dakota,44.73191,-93.21772,Q621377
Arden Hills,101,9939,9552,0.0405,Ramsey,45.05024,-93.15661,Q519815
Becker,150,4954,4538,0.0917,Sherburne,45.3933,-93.87692,Q2346652
Belle Plaine,123,7395,6661,0.1102,Scott,44.62274,-93.76857,Q1927047
Bethel,493,501,466,0.0751,Anoka,45.69913,-93.99884,Q109851
Big Lake,93,11686,10060,0.1616,Sherburne,45.33246,-93.74608,Q1931425
Blaine,10,70222,57186,0.228,"Anoka
Ramsey",45.1608,-93.23495,Q881140
Bloomington,4,89987,82893,0.0856,Hennepin,44.8408,-93.29828,Q490737
Braham,268,1791,1793,−0.11%,"Isanti
Kanabec",45.72274,-93.17078,Q922449
Brooklyn Center,29,33782,30104,0.1222,Hennepin,45.07608,-93.33273,Q929519
Brooklyn Park,6,86478,75781,0.1412,Hennepin,45.09413,-93.35634,Q864128
Buffalo,66,18168,15453,0.1757,Wright,45.17191,-93.87469,Q987142
Burnsville,14,64317,60306,0.0665,Dakota,44.76774,-93.27772,Q736586
Cambridge,103,9611,8111,0.1849,Isanti,45.57274,-93.22439,Q1000191
Carver,137,5829,3724,0.5653,Carver,44.76357,-93.62579,Q1946865
Center City,432,664,628,0.0573,Chisago,45.39385,-92.8166,Q1926706
Centerville,177,4002,3792,0.0554,Anoka,45.16302,-93.05578,Q1004367
Champlin,46,23919,23089,0.0359,Hennepin,45.18885,-93.39745,Q987126
Chanhassen,41,25947,22952,0.1305,"Carver
Hennepin",44.86219,-93.53079,Q1992901
Chaska,34,27810,23770,0.17,Carver,44.78941,-93.60218,Q280102
Chisago City,140,5558,4967,0.119,Chisago,45.37358,-92.88994,Q2195827
Circle Pines,151,4938,4918,0.0041,Anoka,45.14858,-93.15161,Q2246527
Clear Lake,415,707,545,0.2972,Sherburne,46.89234,-96.49065,Q111831
Clearwater,267,1818,1735,0.0478,"Wright
Stearns",45.41941,-94.04887,Q1009967
Coates,88,12568,12124,0.0366,Carlton,46.72161,-92.45936,Q859290
Cokato,218,2747,2694,0.0197,Wright,45.0758,-94.18998,Q1005655
Cologne,271,1797,1519,0.183,Carver,44.77163,-93.78135,Q2346558
Columbia Heights,53,21973,19496,0.1271,Anoka,45.0408,-93.263,Q1978865
Columbus,170,4130,3914,0.0552,Anoka,45.26522,-93.05015,Q2463946
Coon Rapids,16,63599,61476,0.0345,Anoka,45.11997,-93.28773,Q984534
Corcoran,136,6185,5379,0.1498,Hennepin,45.09524,-93.54746,Q1926997
Crystal,49,23330,22151,0.0532,Hennepin,45.03274,-93.36023,Q948360
Dayton,124,7262,4671,0.5547,"Hennepin
Wright",45.24385,-93.51496,Q1931777
Deephaven,179,3928,3642,0.0785,Hennepin,44.92969,-93.52246,Q2232195
Delano,133,6484,5464,0.1867,Wright,45.04191,-93.78913,Q1926976
Eagan,13,68855,64206,0.0724,Dakota,44.80413,-93.16689,Q936730
East Bethel,91,11786,11626,0.0138,Anoka,45.31941,-93.20245,Q1884002
Eden Prairie,15,64198,60797,0.0559,Hennepin,44.85469,-93.47079,Q985558
Edina,19,53494,47941,0.1158,Hennepin,44.88969,-93.34995,Q957763
Elk River,42,25835,22974,0.1245,Sherburne,45.30385,-93.56718,Q985516
Elko New Market,153,4774,4110,0.1616,Scott,44.56472,-93.32694,Q1923863
Excelsior,239,2340,2188,0.0695,Hennepin,44.9033,-93.56635,Q2302086
Falcon Heights,143,5369,5321,0.009,Ramsey,44.99163,-93.16633,Q1000232
Farmington,47,23632,21086,0.1207,Dakota,44.64024,-93.14355,Q1986533
Fridley,32,29590,27208,0.0875,Anoka,45.08608,-93.26328,Q985235
Gem Lake,494,500,393,0.2723,Ramsey,44.55302,-94.22053,Q1012309
Golden Valley,50,22552,20371,0.1071,Hennepin,45.00969,-93.34912,Q868848
Greenfield,207,3038,2777,0.094,Hennepin,45.1033,-93.69135,Q1924328
Greenwood,402,752,688,0.093,Hennepin,45.1033,-93.69135,Q1924328
Ham Lake,69,16464,15296,0.0764,Anoka,45.25024,-93.24995,Q987113
Hamburg,487,517,513,0.0078,Carver,45.25024,-93.24995,Q987113
Hampton,420,697,689,0.0116,Dakota,45.25024,-93.24995,Q987113
Hanover,191,3507,2938,0.1937,"Wright
Hennepin",45.1558,-93.66635,Q373262
Hanover,191,3507,2938,0.1937,"Wright
Hennepin",45.1558,-93.66635,Q373262
Harris,330,1186,1132,0.0477,Chisago,45.58635,-92.97466,Q2231653
Hastings,51,22154,22172,−0.08%,"Dakota
Washington",44.7433,-92.85243,Q994793
Hilltop,397,757,744,0.0175,Anoka,47.42715,-92.93769,Q828736
Hopkins,63,19079,17591,0.0846,Hennepin,44.92496,-93.46273,Q1992894
Howard Lake,252,2136,1962,0.0887,Wright,45.0608,-94.07331,Q2231389
Maple Lake,250,2148,2059,0.0432,Wright,45.22913,-94.00192,Q1003864
Independence,180,3803,3504,0.0853,Hennepin,45.02524,-93.70746,Q24350
Inver Grove Heights,28,35801,33880,0.0567,Dakota,44.84802,-93.04272,Q985268
Isanti,128,6804,5251,0.2958,Isanti,45.49024,-93.24773,Q1924167
Jordan,131,6656,5470,0.2168,Scott,44.66691,-93.6269,Q1924143
Lakeville,11,69490,55954,0.2419,Dakota,44.64969,-93.24272,Q983776
Lauderdale,230,2521,2379,0.0597,Ramsey,44.99858,-93.20578,Q144180
Lexington,224,2652,2049,0.2943,Anoka,45.14247,-93.16328,Q2230312
Lilydale,375,846,623,0.3579,Dakota,45.14247,-93.16328,Q2230312
Lindstrom,156,4720,4442,0.0626,Chisago,45.38941,-92.84799,Q2232344
Lino Lakes,54,21399,20216,0.0585,Anoka,45.16024,-93.08883,Q1992863
Little Canada,96,10819,9773,0.107,Ramsey,45.02691,-93.08772,Q1926987
Long Lake,269,1816,1768,0.0271,Hennepin,44.98663,-93.57162,Q575907
Loretto,432-(T),664,650,0.0215,Hennepin,44.48024,-93.42856,Q2333599
Maple Grove,9,70253,61567,0.1411,Hennepin,45.07246,-93.45579,Q983741
Maple Plain,253,2114,1768,0.1957,Hennepin,45.00719,-93.65579,Q2228155
Maplewood,24,42088,38018,0.1071,Ramsey,44.95302,-92.99522,Q990856
Mayer,243,2266,1749,0.2956,Carver,44.88496,-93.88775,Q2229369
Medicine Lake,319,1256,1239,0.0137,Steele,44.17413,-93.24632,Q925033
Medina,129,6837,4892,0.3976,Hennepin,45.03524,-93.58246,Q2228269
Mendota,313,1302,1306,−0.31%,Wadena,46.75385,-95.09808,Q1924212
Mendota Heights,92,11744,11071,0.0608,Dakota,44.88358,-93.13827,Q984601
Miesville,92,11744,11071,0.0608,Dakota,44.88358,-93.13827,Q984601
Minneapolis,1,429954,382578,0.1238,Hennepin,44.97997,-93.26384,Q36091
Minnetonka Beach,462,581,539,0.0779,Hennepin,44.9133,-93.50329,Q923384
Minnetonka,18,53781,49734,0.0814,Hennepin,44.9133,-93.50329,Q923384
Minnetrista,115,8262,6384,0.2942,Hennepin,44.9383,-93.71774,Q2232122
